listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
4988763,"7 Hollybrook Grove, Clontarf, Dublin 3, County Dublin, D03 RK40",Semi-Detached,695000,3.0,1.0,D03 RK40,Dublin 3,4,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/7-hollybrook-grove-clontarf-dublin-3-county-dublin/4988763
4988719,"6 Brookmount Court, Rathfarnham, Dublin 14, D14 A316",Apartment,350000,1.0,1.0,D14 A316,Dublin 14,7,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/6-brookmount-court-rathfarnham-dublin-14/4988719
4838526,"163 Cooley Road, Drimnagh, Dublin 12, D12 VW95",Apartment,449950,3.0,1.0,D12VW95,Dublin 12,6,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/163-cooley-road-drimnagh-dublin-12/4838526
4967937,"35 Brian Road, Marino, Dublin 3, D03 RK73",Terraced,695000,3.0,2.0,D03 RK73,Dublin 3,4,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/35-brian-road-marino-dublin-3/4967937
4988750,"12 Woodbrook Park, Templeogue, Dublin 16, D16 X062",Semi-Detached,850000,4.0,1.0,D16 X062,Dublin 16,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/12-woodbrook-park-templeogue-dublin-16/4988750
4988711,"15 Court Apartments, Wilton Place, Dublin 2, D02 R282., D02 R282",Studio,475000,2.0,1.0,D02 R282,Dublin 2,1,City Centre,1,1,1,https://www.myhome.ie/residential/brochure/15-court-apartments-wilton-place-dublin-2-d02-r282/4988711
4988705,"15 Levmoss Hall, Leopardstown, Dublin 18, D18 YT52",Studio,475000,2.0,2.0,D18YT52,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/15-levmoss-hall-leopardstown-dublin-18/4988705
4988748,"110 Decies Road, Ballyfermot, Dublin 10, D10 N231, D10 N231",Terraced,325000,2.0,1.0,D10 N231,Dublin 10,8,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/110-decies-road-ballyfermot-dublin-10-d10-n231/4988748
4988722,"2 Sandyford Hall Grove, Sandyford, Dublin 18, D18 K5T6",Semi-Detached,775000,4.0,5.0,D18 K5T6,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/2-sandyford-hall-grove-sandyford-dublin-18/4988722
4988718,"Apt 4 Saint John's Well Way, Old Kilmainham, Dublin 8, D08 K6P5",Apartment,395000,2.0,2.0,D08 K6P5,Dublin 8,3,City Centre,1,0,1,https://www.myhome.ie/residential/brochure/apt-4-saint-john-s-well-way-old-kilmainham-dublin-8/4988718
4988707,"47 Shelbourne Village, Ringsend, Dublin 4, D04 Y567",Studio,340000,2.0,1.0,D04Y567,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/47-shelbourne-village-ringsend-dublin-4/4988707
4988704,"10 Castlegate Chase, Adamstown, Co. Dublin, K78 DK64",End of Terrace,410000,3.0,3.0,K78 DK64,Unknown,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/10-castlegate-chase-adamstown-co-dublin/4988704
4988646,"114 Cedar Brook Walk, Cherry Orchard, Dublin 10, D10 N541",Apartment,225000,1.0,1.0,D10N541,Dublin 10,8,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/114-cedar-brook-walk-cherry-orchard-dublin-10/4988646
4988712,"Apartment 138, The Richmond, Smithfield, Dublin 7, D07 DF72",Apartment,275000,1.0,1.0,D07DF72,Dublin 7,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/apartment-138-the-richmond-smithfield-dublin-7/4988712
4988736,"20 Vernon Grove, Clontarf, Dublin 3, D03 W6Y5",Semi-Detached,850000,3.0,2.0,D03W6Y5,Dublin 3,4,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/20-vernon-grove-clontarf-dublin-3/4988736
4988745,"21 Newcastle Boulevard , Newcastle, Dublin, D22 A2Y2",Apartment,265000,2.0,2.0,D22A2Y2,Dublin 22,10,Outer,1,0,1,https://www.myhome.ie/residential/brochure/21-newcastle-boulevard-newcastle-dublin/4988745
4988663,"10 Newcastle Manor Park, Newcastle, County Dublin, D22 W0Y8",Duplex,275000,2.0,1.0,D22W0Y8,Dublin 10,8,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/10-newcastle-manor-park-newcastle-county-dublin/4988663
